_id,job_url,benefits[0],benefits[1],benefits[2],benefits[3],benefits[4],benefits[5],benefits[6],benefits[7],benefits[8],benefits[9],benefits[10],benefits[11],benefits[12],benefits[13],benefits[14],company,crawl_at,deadline,employment_type,experience,industry,job_description[0],job_description[1],job_description[2],job_description[3],job_description[4],job_description[5],job_description[6],job_description[7],job_description[8],job_description[9],job_description[10],job_description[11],job_description[12],job_description[13],job_description[14],job_description[15],job_description[16],job_description[17],job_description[18],job_description[19],job_description[20],job_description[21],job_description[22],job_description[23],job_description[24],job_description[25],job_description[26],job_description[27],job_description[28],job_description[29],job_description[30],job_description[31],job_requirement[0],job_requirement[1],job_requirement[2],job_requirement[3],job_requirement[4],job_requirement[5],job_requirement[6],job_requirement[7],job_requirement[8],job_requirement[9],job_requirement[10],job_requirement[11],job_requirement[12],job_requirement[13],job_requirement[14],job_requirement[15],job_requirement[16],job_requirement[17],job_requirement[18],job_requirement[19],job_requirement[20],job_requirement[21],job_requirement[22],job_requirement[23],job_requirement[24],job_requirement[25],job_requirement[26],job_requirement[27],job_requirement[28],job_requirement[29],job_requirement[30],job_requirement[31],job_requirement[32],job_requirement[33],job_requirement[34],job_requirement[35],job_requirement[36],level,location[0],location[1],location[2],other_info[0],other_info[1],other_info[2],other_info[3],other_info[4],other_info[5],other_info[6],other_info[7],other_info[8],other_info[9],other_info[10],salary,skills[0],skills[1],skills[2],skills[3],skills[4],skills[5],skills[6],skills[7],skills[8],skills[9],skills[10],skills[11],skills[12],skills[13],skills[14],skills[15],skills[16],skills[17],skills[18],skills[19],skills[20],skills[21],skills[22],skills[23],skills[24],skills[25],skills[26],source,title,updated_at
694807cfcb490f02d21a3605,https://careerviet.vn/vi/tim-viec-lam/network-engineer-ky-su-mang-khong-yeu-cau-kinh-nghiem.35C62616.html,Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Công tác phí,Nghỉ phép năm,CLB thể thao,,,,KDDI Vietnam - HCM GNOC (Ho Chi Minh Global Network Operations Center),2025-12-21T21:44:31.423Z,,,,,"Liên lạc, liên kết với các đối tác (nhà mạng trên toàn cầu) để xử lý sự cố mạng cho khách hàng.","Phụ trách việc khảo sát, thiết lập, kiểm tra và bảo trì đường truyền mạng của khách hàng.","Phụ trách kế hoạch kiểm tra L1/L2/L3 IP, tunnel, QOS và đáp ứng các tiêu chuẩn của hệ thống mạng KDDI.",Hỗ trợ kỹ thuật cho bộ phần Điều hành mạng và vận hành dịch vụ Cloud.,"Giám sát tình trạng, chất lượng đường truyền mạng của khách hàng trên phạm vi toàn cầu.",Ca sáng: 06:00 - 14:00,Ca trưa: 14:00 - 22:00,Ca đêm: 22:00 - 06:00,,,,,,,,,,,,,,,,,,,,,,,,,Độ tuổi từ 21 đến 26,"Chuyên ngành Công nghệ thông tin, Mạng máy tính, Điện tử viễn thông,...","Sinh viên năm cuối (Có thể làm việc toàn thời gian); mới tốt nghiệp, kinh nghiệp dưới 1 năm có thể ứng tuyển",Tiếng Anh Giao Tiếp khá tốt trở lên,"Thái độ làm việc tích cực, sẵn sàng học hỏi và có trách nhiệm với công việc","Làm việc xoay xa, có thể làm vào ngày lễ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hồ Chí Minh,,,Bằng cấp: Đại học,Hình thức: Nhân viên chính thức,Thời gian thử việc: 2 tháng,Độ tuổi: Không giới hạn tuổi,Thời gian làm việc: Trung bình 40h/tuần,Lương: 11 Tr - 13 Tr VND,,,,,,11 Tr - 13 Tr VND,network engineer - kỹ sư mạng không yêu cầu kinh nghiệm,network administrator,chuyên viên quản trị mạng,nhân viên quản trị mạng,kỹ sư quản trị mạng,it admin,it administrator,,,,,,,,,,,,,,,,,,,,,careerviet,Network Engineer - Kỹ Sư Mạng (Không Yêu Cầu Kinh Nghiệm),
694807cfcb490f02d21a3606,https://careerviet.vn/vi/tim-viec-lam/quality-assurance-manager-test-automation-manager.35C5E27B.html,Laptop,Chế độ bảo hiểm,Phụ cấp,Chế độ thưởng,Đào tạo,Tăng lương,Nghỉ phép năm,,,,,,,,,Công Ty CP Dược Phẩm Pharmacity,2025-12-21T21:44:31.836Z,05/01/2026,Nhân viên chính thức,7 - 15 Năm,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quản lý,Hồ Chí Minh,,,Bằng cấp: Đại học,Độ tuổi: Không giới hạn tuổi,Lương: Cạnh tranh,,,,,,,,,Cạnh tranh,quality assurance manager test automation manager,nhân viên quản lý chất lượng,quality control,,,,,,,,,,,,,,,,,,,,,,,,,careerviet,Quality Assurance Manager (Test Automation Manager),17/12/2025
694807d0cb490f02d21a3607,https://careerviet.vn/vi/tim-viec-lam/threat-and-process-compliance-lead.35C5BBD2.html,Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Xe đưa đón,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Công tác phí,Phụ cấp thâm niên,Nghỉ phép năm,CLB thể thao,,Coca-Cola Beverages Vietnam,2025-12-21T21:44:32.307Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bachelor’s degree in information technology, Cybersecurity, or related field. ITIL certification or equivalent experience preferred.","Proven experience in IT risk management, cybersecurity, and governance.",Strong understanding of MITRE ATT&CK or similar frameworks.,"Experience with SOC 1, SOC 2, and control-based reviews.",Excellent written and oral English and Local Language.,"Excellent leadership, organizational, and interpersonal skills with a proven ability to build and mentor high-performing teams.","Risk Management Expertise: Advanced knowledge of IT risk identification, assessment, and mitigation techniques. Skilled in applying risk frameworks such as NIST RMF, ISO 31000, and COBIT to complex enterprise environments.","Cybersecurity Acumen: Strong understanding of threat modeling, vulnerability management, and incident response. Familiarity with MITRE ATT&CK, CVSS scoring, and SOC operations.","Governance & Compliance: Expertise in designing and enforcing IT governance structures. Deep familiarity with regulatory requirements including SOX, GDPR, and FedRamp, and experience managing audits and control reviews (SOC 1, SOC 2).","Policy Development & Implementation: Proven ability to draft, implement, and maintain IT policies and procedures across diverse technical domains including access control, data protection, and third-party risk.","Analytical & Reporting Skills: Ability to interpret technical risk data and translate it into actionable insights. Skilled in developing dashboards, KPIs, and executive-level reporting.",Stakeholder Engagement: Effective communicator with the ability to influence senior leadership and cross-functional teams. Experience in presenting risk scenarios and mitigation strategies to non-technical audiences.,"Tooling & Automation: Hands-on experience with GRC platforms, vulnerability scanners (e.g., Qualys, Tenable), and risk analytics tools. Ability to evaluate and onboard new technologies to enhance risk visibility and control effectiveness.","Incident Management & Root Cause Analysis: Capable of leading post-incident reviews, conducting root cause analysis, and implementing corrective actions to prevent recurrence.",Ability to travel as needed to support global and regional operations.,,,,,,,,,,,,,,,,,,,,,,,,Hồ Chí Minh,,,Bằng cấp: Đại học,Hình thức: Nhân viên chính thức,Độ tuổi: Không giới hạn tuổi,Lương: Cạnh tranh,,,,,,,,Cạnh tranh,threat and process compliance lead,nhân sự,recruitment,human resource,,,,,,,,,,,,,,,,,,,,,,,,careerviet,Threat and Process Compliance Lead,
694807d0cb490f02d21a3608,https://careerviet.vn/vi/tim-viec-lam/sales-leader-b2b-truong-nhom-kinh-doanh-phan-mem-thu-nhap-15-40-trieu-nghi-t7-cn.35C5CB26.html,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Nghỉ phép năm,CLB thể thao,,,,,,Công Ty TNHH CNV HOLDINGS,2025-12-21T21:44:32.843Z,25/12/2025,Nhân viên chính thức,1 - 2 Năm,"Bán hàng / Kinh doanh , Tư vấn , CNTT - Phần mềm","Quản lý, xây dựng & phát triển đội ngũ Sales, đảm bảo doanh số;","Đào tạo, hỗ trợ members nâng cao kỹ năng & hiệu suất;","Nghiên cứu thị trường, mở rộng khách hàng doanh nghiệp & đối tác;","Tư vấn, pitching/demo, thương thảo & chốt giải pháp;","Báo cáo, lập kế hoạch kinh doanh & phối hợp triển khai giải pháp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Độ tuổi phù hợp: 1993 – 1999.,Tối thiểu 06 tháng kinh nghiệm ở vị trí Sales/Leader (ưu tiên background ngành Công nghệ).,"Kỹ năng quản lý, giao tiếp tốt, tinh thần trách nhiệm cao.","Khả năng phân tích, tư duy chiến lược và đưa ra giải pháp kinh doanh.","Tinh thần cầu tiến, sẵn sàng học hỏi và đồng hành lâu dài cùng công ty.",Có laptop cá nhân phục vụ công việc.Quyền lợi,"Thu nhập từ 15.000.000đ - 40.000.000đ (bao gồm lương cứng + Hoa hồng + Các khoản thu nhập khác,...)",Nghỉ cố định Thứ 7 và Chủ nhật.,"Công ty thường xuyên hợp tác tổ chức các buổi event, networking,...với quy mô lớn nhằm hỗ trợ các bạn Nhân viên thiết lập các mối quan hệ xã hội,...","Cơ chế thăng tiến rõ ràng, định hướng lên vị trí Quản lý Kinh doanh, cơ hội đảm nhiệm vị trí cao hơn trong Công ty.",Thưởng hoa hồng từ 3% - 15% tổng doanh thu.,Xét duyệt tăng lương 4 lần/năm.,"Môi trường làm việc năng động, tự do, hiện đại & thỏa sức sáng tạo.","Lương thưởng tháng 13, thưởng nóng,Year End Party hoặc du lịch hằng năm.",Được Training nâng cao kinh nghiệm bán hàng.,"Được tiếp cận với sản phẩm, xu hướng về công nghệ hàng đầu thế giới.","Các chế độ theo Luật lao động hiện hành BHXH, Thưởng Lễ, Tết, Sinh nhật...và các phúc lợi theo quy định của Công ty.",,,,,,,,,,,,,,,,,,,,,Quản lý,Hồ Chí Minh,Hà Nội,,Bằng cấp: Trung cấp,Phụ cấp khác:Thưởng hoa hồng từ 3% - 15% tổng doanh thu.Xét duyệt tăng lương 4 lần/năm.,Thời gian thử việc: Không thử việc,"Cơ hội huấn luyện:Cơ chế thăng tiến rõ ràng, định hướng lên vị Quản lý Kinh doanh, cơ hội đảm nhiệm vị trí cao hơn trong Công ty.Được Training nâng cao kinh nghiệm bán hàng.Được tiếp cận với sản phẩm, xu hướng về công nghệ hàng đầu thế giới",Độ tuổi: 26 - 32,Thời gian làm việc: Nghỉ cố định Thứ 7 & Chủ Nhật,"Đồng nghiệp: Môi trường làm việc năng động, tự do, hiện đại & thỏa sức sáng tạo.","Phúc lợi: Lương thưởng tháng 13, thưởng nóng,Year End Party & du lịch hằng năm.",Ngày nghỉ: Theo Luật lao động,Lương: 15 Tr - 40 Tr VND,,15 Tr - 40 Tr VND,chăm sóc khách hàng,Sales Leader BB/ Trưởng Nhóm Kinh Doanh Phần Mềm Thu Nhập  -  Triệu Nghỉ T & CN,Nhân viên phòng,sales leader b2b,trưởng nhóm kinh doanh,sale b2b,,,,,,,,,,,,,,,,,,,,,,careerviet,"Sales Leader B2B/ Trưởng Nhóm Kinh Doanh Phần Mềm, Thu Nhập 15 - 40 Triệu, Nghỉ T7 & CN",17/12/2025
694807d1cb490f02d21a3609,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-erp-sap-4hana.35C5C204.html,Laptop,Chế độ bảo hiểm,Phụ cấp,Đồng phục,Công tác phí,Nghỉ phép năm,,,,,,,,,,Tập Đoàn Lộc Trời,2025-12-21T21:44:33.345Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hồ Chí Minh,,,Bằng cấp: Cao đẳng,Hình thức: Nhân viên chính thức,Phụ cấp khác: - Phụ cấp tiền cơm và điện thoại,Thời gian thử việc: 60 ngày,Cơ hội huấn luyện:- Được đào tạo kiến thức chuyên ngành và thực tiễn trong quá trình làm việc.- Được tham gia các lớp đào tạo định hướng nghề nghiệp của Tập Đoàn.- Được đề xuất tham gia các lớp/chương trình đào tạo phát triển cá nhân- Có cơ hội làm việc với các tổ chức tài chính quốc tế hàng đầu,Độ tuổi: 25 - 45,Thời gian làm việc: 48 giờ,"Đồng nghiệp: - Đồng nghiệp thân thiện, hỗ trợ và giúp đỡ trong công việc","Phúc lợi:- Tham gia BHXH- Chế độ Công đoàn (hiếu, hỷ, ốm đau,..)- Các khoản thưởng, quà vào các dịp lễ - tết",Ngày nghỉ: - Nghỉ chủ nhật và các ngày lễ theo quy định của Luật Lao động,Lương: Cạnh tranh,Cạnh tranh,,,,,,,,,,,,,,,,,,,,,,,,,,,,careerviet,Chuyên viên ERP (SAP 4HANA),
694807d1cb490f02d21a360a,https://careerviet.vn/vi/tim-viec-lam/senior-telecom-operation-specialist-call-center-administration.35C5C221.html,Laptop,Chế độ bảo hiểm,Phụ cấp,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Nghỉ phép năm,,,,,,,,FE CREDIT,2025-12-21T21:44:33.884Z,19/01/2026,Nhân viên chính thức,5 - 7 Năm,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng","Implement, operate, monitor Contact center systems, Telecom channels to ensure the system operates stably and effectively","Responsible for operating and monitoring in Contact center system, Telecom channels","Conduct troubleshooting and provide support in Contact center system, Telecom channels",Log problems & incidents and the workarounds and also provide resolutions,Participate in project related to Contact center systems/ Telecom channels,"Cooperate with other IT departments/ vendors to maintain contact center system, SMS core, network security including operating system, firewalls, routers and switches",Build and update documents of contact center and Telecom channels,"Monitor of upgrading software/ hardware for servers, telecom and other communication devices",Undertake other tasks assigned by line manager,,,,,,,,,,,,,,,,,,,,,,,,"Bachelor’s Degree, preferably in IT or related technical areas",5+ years’ experiences in Call center administration,"5+ years’ experiences in Telecom channels administration, database management",1+ years’ experiences in network administration,Proficient in Call center administration is a must,"Proficient in Oracle, MS SQL, HTML and Scripting","Prior experience in VMWare, operation system installation and administration will be an advantage",Proficient in telephone connectivity is a plus,Time flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhân viên,Hồ Chí Minh,,,Bằng cấp: Đại học,Độ tuổi: Không giới hạn tuổi,"Lương: 900 - 1,500 USD",,,,,,,,,"900 - 1,500 USD",purchasing,nhân viên mua hàng  staff,associates  accountant,staff/ executive/ supervisor/ manager,purchasing staff,executive,manager,coordinator,supervisor,officier,senior telecom operation specialist call center administration,,,,,,,,,,,,,,,,,careerviet,Senior Telecom Operation Specialist (Call center administration),21/12/2025
694807d2cb490f02d21a360b,https://careerviet.vn/vi/tim-viec-lam/cloud-system-operations-aws.35C5C1B8.html,Laptop,Chế độ bảo hiểm,Phụ cấp,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Nghỉ phép năm,,,,,,,,FE CREDIT,2025-12-21T21:44:34.368Z,20/12/2025,Nhân viên chính thức,4 - 6 Năm,"Ngân hàng , CNTT - Phần mềm , CNTT - Phần cứng / Mạng","Implement highly available, secure, cost-effective AWS solutions that meet business requirements.",Define and document best practices and strategies regarding application deployment and infrastructure maintenance.,"Monitor and troubleshoot performance issues, proactively identifying and resolving bottlenecks or challenges.","Communicates, plans, schedules, documents, and collect the metric to measure the health of cloud infrastructure.","Handle or follow the backup and disaster recovery processes, implementing robust strategies to protect critical data and systems.","Works closely with AWS Engineering, Security, and Development teams to incorporate user feedback and address key support and usability concerns for customers.","Collaborate effectively with the team and management, providing technical expertise, insights, and recommendations.","Evaluates tools, best practices, technologies, and approaches to service delivery problems / issues for incorporation into the overall operation policies and procedures.",Serve as the IT Staff of FEC as assigned.,Perform other duties as requested by the Head of Systems Manager Administration.,"Respond rapidly to maintenance needs, including on weekends and evenings.",,,,,,,,,,,,,,,,,,,,,,"University degree, preferably in IT or technical areas LPI (1,2)",AWS Certified Solutions Architect,AWS Certified SysOps Administrator is preferred,4+ years of system administration experience supporting Microsoft Windows Server/Linux Server are required.,4+ years of system administration on AWS Cloud are required.,Experience with Docker and Kubernetes. Having used ECS or EKS.,"Strong notions of security best practices (e.g. using IAM Roles, KMS, etc.).",Knowledge of writing infrastructure as code (IaC) using Cloud Formation or Terraform.,"Experience with the serverless approaches using AWS Lambda is a plus. For example, the Serverless Application Model (AWS SAM).",Experience with database and middleware technologies commonly used in AWS environments.,"Monitor system performance, troubleshoot issues, and optimize cloud environments for reliability and scalability.","Comfortable with scripting, able to write small programs to do various system tasks (Bash, Powershell, Python)",Solid knowledge of standard service in Windows and Linux.,"Knowledge of network technology, especially IP routing, HTTP, SSL, remote administration and performance monitoring.",Knowledge of networking and security concepts.,Must be able to work evenings and/or weekends and/or during change windows outside of normal business hours.,,,,,,,,,,,,,,,,,,,,,,Nhân viên,Hồ Chí Minh,,,Bằng cấp: Đại học,Độ tuổi: Không giới hạn tuổi,"Lương: 1,000 - 2,000 USD",,,,,,,,,"1,000 - 2,000 USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,careerviet,Cloud System Operations (AWS),21/11/2025
694807d6cb490f02d21a360c,https://careerviet.vn/vi/tim-viec-lam/sr-it-business-analyst-software-development.35C5FD78.html,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Nghỉ phép năm,,,,,,,,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,2025-12-21T21:44:38.024Z,,,,,"Đóng vai trò cầu nối giữa khách hàng và đội ngũ kỹ thuật, chuyển đổi nhu cầu nghiệp vụ thành các yêu cầu phần mềm/automation rõ ràng và khả thi.","Dẫn dắt các buổi thu thập yêu cầu, phân tích quy trình nghiệp vụ và xây dựng tài liệu user stories, sơ đồ quy trình và đặc tả chức năng.",Phối hợp chặt chẽ với đội phát triển để đảm bảo hiểu đúng và triển khai chính xác yêu cầu trong suốt vòng đời dự án (SDLC).,"Tham gia xác định phạm vi dự án, mức độ ưu tiên, ước lượng effort và timeline thực hiện.","Đóng góp vào thiết kế giải pháp cho các sáng kiến automation, bao gồm workflow automation, giải pháp phần mềm hoặc dự án liên quan đến RPA.","Hỗ trợ hoạt động pre-sales: phân tích nhu cầu khách hàng, đề xuất giải pháp automation phù hợp, chuẩn bị tài liệu và tham gia trình bày.","Hỗ trợ kiểm thử thông qua việc xác nhận yêu cầu, review test case và tham gia UAT.",Cung cấp hỗ trợ sau bàn giao và đề xuất cải tiến hệ thống liên tục.,(Không bắt buộc) Giao tiếp với khách hàng Nhật khi có yêu cầu.,"Tầng 4, Tòa nhà Mộc Gia Cộng Hòa, 123 Cộng Hòa, Phường 12, Quận Tân Bình, TP. HCM",Hoặc các văn phòng khác của transcosmos Vietnam,"8:00 – 17:00, Thứ Hai đến Thứ Sáu vàThứ Bảy cách tuần",,,,,,,,,,,,,,,,,,,,,"Tốt nghiệp đại học các ngành CNTT, Khoa học máy tính hoặc các ngành liên quan.","Tối thiểu 5 năm kinh nghiệm ở vị trí BA IT, System Analyst hoặc các vị trí tương tự trong dự án phần mềm hoặc automation. Trong đó có ít nhất 3 năm làm ở vị trí BA.",Khả năng phân tích quy trình nghiệp vụ phức tạp và đề xuất giải pháp tối ưu/automation.,"Có kinh nghiệm thực tế trong triển khai phần mềm, automation quy trình hoặc phát triển ứng dụng.","Nền tảng IT vững, hiểu về kiến trúc hệ thống, API, cơ sở dữ liệu và quy trình SDLC.",Giao tiếp tốt bằng tiếng Anh khi làm việc với khách hàng và đội ngũ quốc tế.,"Kinh nghiệm trong các ngành Sản xuất, FMCG, Điện máy hoặc ngành tương tự",Kinh nghiệm pre-sales hoặc tư vấn giải pháp là lợi thế lớn.,"Có kinh nghiệm với các công cụ automation/RPA (UiPath, Power Automate, Automation Anywhere...) là điểm cộng.",Biết ngôn ngữ tiếng Nhật là lợi thế.,"Tư duy phân tích tốt, logic, chi tiết và giải quyết vấn đề hiệu quả.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Hồ Chí Minh,,,Bằng cấp: Đại học,Hình thức: Nhân viên chính thức,Độ tuổi: 25 - 35,Lương: 30 Tr - 35 Tr VND,,,,,,,,30 Tr - 35 Tr VND,sr. it business analyst – software development,web product mananger,it product mananger,it business support analyst,software business analyst,phân tích hệ thống kinh doanh,hệ thống thông tin quản lý,chuyên viên phân tích hệ thống,,,,,,,,,,,,,,,,,,,,careerviet,Sr. IT Business Analyst – Software Development,
694807d6cb490f02d21a360d,https://careerviet.vn/vi/tim-viec-lam/senior-data-analyst.35C5FA21.html,Chế độ bảo hiểm,Du Lịch,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,,,,,,,,,,Công Ty CP Việt Tinh Anh,2025-12-21T21:44:38.642Z,18/01/2026,Nhân viên chính thức,Trên 3 Năm,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graduated University with major IT, Data science, Data Engineer ….",As least 3 years experiences in the same level,Data Analyst Certificate,Data Science Certificate,"Experience with T-SQL, Python, PBI, Looker",Advanced experience with ML models,TensorFlow / PyTorch Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhân viên,Hồ Chí Minh,,,Bằng cấp: Đại học,Độ tuổi: Không giới hạn tuổi,Lương: Cạnh tranh,,,,,,,,,Cạnh tranh,senior data analyst,cộng tác viên xử lý dữ liệu,nhân viên xử lý dữ liệu,data mining,data validation,data analysis specialist,data processing,data processing executive,data processing specialist,data processing officer,data processing staff,,,,,,,,,,,,,,,,,careerviet,Senior Data Analyst,20/12/2025
694807d7cb490f02d21a360e,https://careerviet.vn/vi/tim-viec-lam/senior-technical-consultant.35C6348E.html,Chế độ bảo hiểm,Du Lịch,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,,,,,,,,,,CANDYLIO,2025-12-21T21:44:39.064Z,19/01/2026,Nhân viên chính thức,Trên 2 Năm,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhân viên,Hồ Chí Minh,,,Bằng cấp: Đại học,Độ tuổi: Không giới hạn tuổi,Lương: Cạnh tranh,,,,,,,,,Cạnh tranh,senior technical consultant,tư vấn công nghệ,tư vấn kỹ thuật,tư vấn công nghệ sap erp,tư vấn kỹ thuật sap erp,oracle apps,sap crm,business analyst,,,,,,,,,,,,,,,,,,,,careerviet,Senior Technical Consultant,19/12/2025
694807d7cb490f02d21a360f,https://careerviet.vn/vi/tim-viec-lam/business-solutions-information-system-is-director-warehouse-solutions-is-director.35C62894.html,Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Nghỉ phép năm,,,,,,CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM,2025-12-21T21:44:39.655Z,31/01/2026,Nhân viên chính thức,8 - 10 Năm,"Vận chuyển / Giao nhận / Kho vận , CNTT - Phần mềm , Xuất nhập khẩu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giám đốc,Hồ Chí Minh,,,Bằng cấp: Đại học,Độ tuổi: Không giới hạn tuổi,Lương: Cạnh tranh,,,,,,,,,Cạnh tranh,business solutions & information system is director warehouse solutions & is director,warehouse pricing,warehouse solution,warehouse system (wms),director of warehouse pricing,wms,it,,,,,,,,,,,,,,,,,,,,,careerviet,Business Solutions & Information System (IS) Director (Warehouse Solutions & IS Director),18/12/2025
694807d8cb490f02d21a3610,https://careerviet.vn/vi/tim-viec-lam/senior-it-network-engineer.35C627E3.html,Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Nghỉ phép năm,,,,,,,CÔNG TY CỔ PHẦN GIẢI PHÁP GENE - GENE SOLUTIONS,2025-12-21T21:44:40.057Z,31/12/2025,Nhân viên chính thức,3 - 5 Năm,CNTT - Phần mềm,"Design, set up, and configure Local Area Networks (LANs) and Wide Area Networks (WANs).","Install and support network hardware, including routers, switches, firewalls, load balancers, access points, and other networking equipment.","Implement and maintain network security protocols to protect against unauthorized access, breaches, and other security threats;",Monitor network traffic for unusual activity and take appropriate measures to safeguard the network.,"Manage and operate security equipment/solutions such as Firewalls (Next-Generation Firewalls), Anti-Spam, and IDS/IPS.","Diagnose and resolve network issues, including connectivity problems, hardware malfunctions, and performance issues;","Conduct regular maintenance activities, such as software updates, patches, and system backups.",Proactively monitor the performance of the network system (real-time and logs) to detect and address potential issues early.,Keep track of network issues and record incident reports,"Create and maintain detailed documentation of network configurations, diagrams, and troubleshooting procedures.","Keep an inventory of network equipment, including specifications and warranty information.",Keep track of requests and appropriate configuration of network policies in network and security devices.,Develop and enforce network-related policies and procedures to ensure compliance with security standards and company best practices.,,,,,,,,,,,,,,,,,,,,Minimum 3 years of experience in most of the following technical areas:,English: Able to communicate effectively in a professional working environment.,Be an advantage if a candidate has experience in:,"Configuring and maintaining multi-site network structures, VPNs, SD-WAN, etc.","Deploying various network devices and services such as DNS, DHCP, WiFi Controllers, IDS/IPS, firewalls, and proxy policies.","Hands-on experience in network security, monitoring, device hardening, and independent incident troubleshooting.","Personal attributes:Honest, meticulous, careful, enthusiastic, and highly responsible.Able to work independently and collaboratively in a team.Good time management and organizational skills.Eager to learn and actively seek solutions.","Honest, meticulous, careful, enthusiastic, and highly responsible.",Able to work independently and collaboratively in a team.,Good time management and organizational skills.,Eager to learn and actively seek solutions.,Automating network operations and deployments.,AWS and hybrid cloud network environments.,,,,,,,,,,,,,,,,,,,,,,,,,Nhân viên,Hồ Chí Minh,,,Bằng cấp: Đại học,Độ tuổi: 25 - 38,Lương: Cạnh tranh,,,,,,,,,Cạnh tranh,senior it network engineer,network administrator,chuyên viên quản trị mạng,nhân viên quản trị mạng,kỹ sư quản trị mạng,,,,,,,,,,,,,,,,,,,,,,,careerviet,Senior IT Network Engineer,18/12/2025
